Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.402100;22;22;22;22;0.159224;
1;10.0504;27.076384;21.1411;21.3243;21.1411;21.1411;0.159224;
2;40.2015;25.834707;20.3367;20.6807;20.3367;20.3367;0.159224;
3;90.4533;25.834707;19.4716;19.9767;19.8417;19.8417;0.156995;
4;160.806;24.618660;18.6838;19.3246;19.0389;19.0389;0.156995;
5;251.259;24.618660;17.8559;18.6279;18.5324;18.5324;0.157905;
6;361.813;23.432182;17.0873;17.9701;17.7346;17.7346;0.157905;
7;492.468;23.432182;16.259;17.2493;17.1936;17.1936;0.15882;
8;643.224;22.276920;15.5106;16.587;16.4021;16.4021;0.15882;
9;814.08;22.276920;14.6816;15.8409;15.8246;15.8246;0.159924;
10;1005.04;21.159983;13.958;15.1787;15.0446;15.0446;0.159924;
11;1216.09;21.159983;13.1258;14.404;14.4266;14.4266;0.160991;
12;1447.25;20.083542;12.4284;13.7439;13.6602;13.6602;0.160991;
13;1698.51;20.083542;11.5936;12.9402;12.9997;12.9997;0.162087;
14;1969.87;19.058310;10.9294;12.29;12.255;12.255;0.162087;
15;2261.33;19.058310;10.0911;11.4553;11.5491;11.5491;0.163141;
16;2572.89;18.089367;9.46339;10.8198;10.8307;10.8307;0.163141;
17;2904.56;18.089367;8.62241;9.95402;10.0773;10.0773;0.164153;
18;3256.32;17.170465;8.02711;9.33091;9.38154;9.38154;0.164153;
