Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]
0;0;28.402100;22;22;
1;10.0504;27.076384;21.1411;21.3243;
2;40.2015;25.834707;20.3367;20.6807;
3;90.4533;24.618660;19.5489;20.0401;
4;160.806;23.432182;18.7803;19.4051;
5;251.259;22.276920;18.0319;18.7769;
6;361.813;21.159983;17.3083;18.1603;
7;492.468;20.083542;16.6109;17.5571;
8;643.224;19.058310;15.9467;16.9742;
9;814.08;18.089367;15.319;16.4157;
10;1005.04;17.170465;14.7237;15.8791;
11;1216.09;16.291851;14.1545;15.3595;
12;1447.25;15.449948;13.6091;14.8556;
13;1698.51;14.642302;13.0858;14.3665;
14;1969.87;13.874276;12.5883;13.8961;
15;2261.33;13.145955;12.1164;13.4453;
16;2572.89;12.456514;11.6698;13.0142;
17;2904.56;11.802361;11.246;12.6011;
18;3256.32;11.182963;10.8447;12.2064;
